Code_commune;Nom_commune;Pop_municipale;Pop_totale;Code canton
259;Vénissieux;67285,00;67551,00;00
260;Vernaison;4999,00;5055,00;00
261;Vernay;104,00;105,00;03
265;Ville-sur-Jarnioux;802,00;835,00;04
263;Villechenève;881,00;900,00;02
264;Villefranche-sur-Saône;36291,00;36710,00;13
266;Villeurbanne;152212,00;153294,00;00
267;Villié-Morgon;2137,00;2251,00;03
157;Vindry-sur-Turdine;5279,00;5367,00;10
268;Vourles;3367,00;3458,00;05
269;Yzeron;992,00;1016,00;12
